,,,sum_sq,df,F,PR(>F)
CLIENTNUM,Attrition_Flag,Attrition_Flag,2.972930275155078e+16,1.0,21.87445802073875,2.9484979954662872e-06
CLIENTNUM,Attrition_Flag,Residual,1.3760761070014654e+19,10125.0,,
CLIENTNUM,Gender,Gender,5620503401782514.0,1.0,4.1282650821042495,0.042198622163071485
CLIENTNUM,Gender,Residual,1.3784869869364384e+19,10125.0,,
CLIENTNUM,Education_Level,Education_Level,8293538804996036.0,6.0,1.0149641323235152,0.4132772751730335
CLIENTNUM,Education_Level,Residual,1.3782196833961185e+19,10120.0,,
CLIENTNUM,Marital_Status,Marital_Status,4482333734984990.0,3.0,1.097118766379832,0.34889949402097226
CLIENTNUM,Marital_Status,Residual,1.3786008039031194e+19,10123.0,,
CLIENTNUM,Income_Category,Income_Category,1.6370105299974896e+16,5.0,2.405697533110383,0.03447225833131322
CLIENTNUM,Income_Category,Residual,1.3774120267466207e+19,10121.0,,
CLIENTNUM,Card_Category,Card_Category,1470041620462606.0,3.0,0.3597362482750188,0.7820964174934442
CLIENTNUM,Card_Category,Residual,1.3789020331145724e+19,10123.0,,
Customer_Age,Attrition_Flag,Attrition_Flag,215.64236696517358,1.0,3.3560738552483187,0.06698688501697642
Customer_Age,Attrition_Flag,Residual,650575.362669077,10125.0,,
Customer_Age,Gender,Gender,195.03472244796728,1.0,3.0352579095038497,0.0815039649589118
Customer_Age,Gender,Residual,650595.9703135943,10125.0,,
Customer_Age,Education_Level,Education_Level,855.0294161176697,6.0,2.2189102762154063,0.03840682902018131
Customer_Age,Education_Level,Residual,649935.9756199245,10120.0,,
Customer_Age,Marital_Status,Marital_Status,2358.4805384269034,3.0,12.273134360429681,5.18611026640892e-08
Customer_Age,Marital_Status,Residual,648432.5244976156,10123.0,,
Customer_Age,Income_Category,Income_Category,1490.057335960844,5.0,4.64526360254928,0.0003086755622239044
Customer_Age,Income_Category,Residual,649300.9477000813,10121.0,,
Customer_Age,Card_Category,Card_Category,371.14185088326303,3.0,1.9254582919677963,0.12308443211043646
Customer_Age,Card_Category,Residual,650419.8631851589,10123.0,,
Dependent_count,Attrition_Flag,Attrition_Flag,6.161296992091868,1.0,3.652825190994282,0.05600239253443362
Dependent_count,Attrition_Flag,Residual,17078.05021678296,10125.0,,
Dependent_count,Gender,Gender,0.3556665406271727,1.0,0.21079103898158227,0.6461579571072393
Dependent_count,Gender,Residual,17083.855847234423,10125.0,,
Dependent_count,Education_Level,Education_Level,4.596079324398141,6.0,0.4538775374404402,0.8426712579386634
Dependent_count,Education_Level,Residual,17079.615434450658,10120.0,,
Dependent_count,Marital_Status,Marital_Status,47.463014023029224,3.0,9.400621856964433,3.3551726483933138e-06
Dependent_count,Marital_Status,Residual,17036.74849975203,10123.0,,
Dependent_count,Income_Category,Income_Category,87.40633479872878,5.0,10.409479960294668,5.597931582942589e-10
Dependent_count,Income_Category,Residual,16996.805178976334,10121.0,,
Dependent_count,Card_Category,Card_Category,18.297355562526118,3.0,3.617818313985398,0.012575819592366283
Dependent_count,Card_Category,Residual,17065.914158212523,10123.0,,
Months_on_book,Attrition_Flag,Attrition_Flag,120.9898408511011,1.0,1.8970705665878014,0.16843702876332486
Months_on_book,Attrition_Flag,Residual,645744.106831411,10125.0,,
Months_on_book,Gender,Gender,29.231931152101296,1.0,0.45827944695154005,0.4984446412146948
Months_on_book,Gender,Residual,645835.8647411102,10125.0,,
Months_on_book,Education_Level,Education_Level,608.2771506737861,6.0,1.5900037986380813,0.1455332444373981
Months_on_book,Education_Level,Residual,645256.8195215885,10120.0,,
Months_on_book,Marital_Status,Marital_Status,1259.4603572936423,3.0,6.5929288020548436,0.00019029116612624857
Months_on_book,Marital_Status,Residual,644605.6363149688,10123.0,,
Months_on_book,Income_Category,Income_Category,907.9146539738297,5.0,2.849492793959946,0.014157243818272465
Months_on_book,Income_Category,Residual,644957.1820182884,10121.0,,
Months_on_book,Card_Category,Card_Category,156.52636903669304,3.0,0.8179729507665007,0.4837088521560333
Months_on_book,Card_Category,Residual,645708.5703032257,10123.0,,
Months_Inactive_12_mon,Attrition_Flag,Attrition_Flag,240.36089852831412,1.0,240.91037630256477,1.0326639995836572e-53
Months_Inactive_12_mon,Attrition_Flag,Residual,10101.906505441257,10125.0,,
Months_Inactive_12_mon,Gender,Gender,1.2888448949488103,1.0,1.2619264692223138,0.26131338558204
