,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Amt_per_Trans
0,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,777,11914.0,1.335,1144,42,1.625,0.061,27.238095238095237
1,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,864,7392.0,1.541,1291,33,3.714,0.105,39.121212121212125
2,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,0,3418.0,2.594,1887,20,2.333,0.0,94.35
3,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,2517,796.0,1.405,1171,20,2.333,0.76,58.55
4,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,0,4716.0,2.175,816,28,2.5,0.0,29.142857142857142
5,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,1247,2763.0,1.376,1088,24,0.846,0.311,45.333333333333336
6,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,2264,32252.0,1.975,1330,31,0.722,0.066,42.903225806451616
7,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,1396,27685.0,2.204,1538,36,0.7140000000000001,0.048,42.72222222222222
8,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,2517,19835.0,3.355,1350,24,1.182,0.113,56.25
9,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,1677,9979.0,1.524,1441,32,0.882,0.14400000000000002,45.03125
10,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,1467,5281.0,0.831,1201,42,0.68,0.217,28.595238095238095
11,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,1587,7508.0,1.433,1314,26,1.364,0.174,50.53846153846154
12,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,0,11751.0,3.397,1539,17,3.25,0.0,90.52941176470588
13,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,1666,6881.0,1.163,1311,33,2.0,0.195,39.72727272727273
14,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,680,1756.0,1.19,1570,29,0.611,0.27899999999999997,54.13793103448276
15,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,972,3262.0,1.7069999999999999,1348,27,1.7,0.23,49.925925925925924
16,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,2362,28005.0,1.7080000000000002,1671,27,0.929,0.078,61.888888888888886
17,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,1291,12244.0,0.653,1028,21,1.625,0.095,48.95238095238095
18,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,2517,676.0,1.831,1336,30,1.143,0.7879999999999999,44.53333333333333
19,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,1157,13313.0,0.966,1207,21,0.909,0.08,57.476190476190474
20,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,1800,19179.0,0.9059999999999999,1178,27,0.929,0.086,43.629629629629626
21,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,0,1438.3,1.047,692,16,0.6,0.0,43.25
22,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,680,3790.0,1.608,931,18,1.571,0.152,51.72222222222222
23,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,1560,932.0,0.573,1126,23,0.353,0.626,48.95652173913044
24,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,0,12217.0,1.075,1110,21,0.75,0.0,52.857142857142854
25,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,1669,6099.0,0.797,1051,22,0.833,0.215,47.77272727272727
